cluster,size,acc,tp,tn,fp,fn
230,13.0,0.6923076923076923,0.6923076923076923,0.0,0.3076923076923077,0.0
231,19.0,0.9473684210526315,0.0,0.9473684210526315,0.0,0.05263157894736842
232,20.0,0.5,0.4,0.1,0.3,0.2
233,25.0,0.96,0.0,0.96,0.0,0.04
234,20.0,0.55,0.3,0.25,0.4,0.05
235,64.0,0.484375,0.265625,0.21875,0.265625,0.25
236,15.0,0.7333333333333333,0.5333333333333333,0.2,0.26666666666666666,0.0
237,17.0,0.8235294117647058,0.8235294117647058,0.0,0.17647058823529413,0.0
238,28.0,0.5714285714285714,0.32142857142857145,0.25,0.32142857142857145,0.10714285714285714
239,47.0,0.8936170212765957,0.0,0.8936170212765957,0.0,0.10638297872340426
240,56.0,0.9821428571428571,0.0,0.9821428571428571,0.0,0.017857142857142856
241,25.0,0.76,0.76,0.0,0.24,0.0
242,28.0,0.9285714285714286,0.9285714285714286,0.0,0.07142857142857142,0.0
243,47.0,0.6808510638297872,0.5319148936170213,0.14893617021276595,0.2765957446808511,0.0425531914893617
244,52.0,1.0,0.0,1.0,0.0,0.0
245,60.0,0.85,0.85,0.0,0.15,0.0
246,17.0,0.5294117647058824,0.23529411764705882,0.29411764705882354,0.23529411764705882,0.23529411764705882
247,25.0,0.84,0.84,0.0,0.16,0.0
248,17.0,1.0,0.0,1.0,0.0,0.0
249,22.0,1.0,0.0,1.0,0.0,0.0
250,58.0,0.8793103448275862,0.0,0.8793103448275862,0.0,0.1206896551724138
251,39.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0
252,100.0,0.97,0.0,0.97,0.0,0.03
253,19.0,0.9473684210526315,0.0,0.9473684210526315,0.0,0.05263157894736842
254,34.0,0.9705882352941176,0.9705882352941176,0.0,0.029411764705882353,0.0
255,25.0,0.6,0.52,0.08,0.32,0.08
256,36.0,0.6666666666666666,0.16666666666666666,0.5,0.1111111111111111,0.2222222222222222
257,22.0,0.9545454545454546,0.0,0.9545454545454546,0.0,0.045454545454545456
258,90.0,0.9888888888888889,0.0,0.9888888888888889,0.0,0.011111111111111112
259,12.0,1.0,0.0,1.0,0.0,0.0
260,22.0,0.7727272727272727,0.0,0.7727272727272727,0.0,0.22727272727272727
261,11.0,0.8181818181818182,0.0,0.8181818181818182,0.0,0.18181818181818182
262,33.0,0.9696969696969697,0.0,0.9696969696969697,0.0,0.030303030303030304
263,12.0,1.0,0.0,1.0,0.0,0.0
264,59.0,0.7966101694915254,0.0,0.7966101694915254,0.0,0.2033898305084746
265,18.0,1.0,0.0,1.0,0.0,0.0
266,26.0,0.6923076923076923,0.38461538461538464,0.3076923076923077,0.19230769230769232,0.11538461538461539
267,10.0,0.8,0.0,0.8,0.0,0.2
268,13.0,0.9230769230769231,0.0,0.9230769230769231,0.0,0.07692307692307693
269,34.0,0.6470588235294118,0.35294117647058826,0.29411764705882354,0.23529411764705882,0.11764705882352941
270,26.0,0.7307692307692307,0.0,0.7307692307692307,0.0,0.2692307692307692
271,16.0,0.5625,0.3125,0.25,0.25,0.1875
272,19.0,0.47368421052631576,0.10526315789473684,0.3684210526315789,0.15789473684210525,0.3684210526315789
273,24.0,0.9583333333333334,0.0,0.9583333333333334,0.0,0.041666666666666664
274,15.0,0.8,0.8,0.0,0.2,0.0
275,15.0,0.8666666666666667,0.0,0.8666666666666667,0.0,0.13333333333333333
276,26.0,1.0,0.0,1.0,0.0,0.0
277,13.0,0.46153846153846156,0.46153846153846156,0.0,0.38461538461538464,0.15384615384615385
278,11.0,0.9090909090909091,0.0,0.9090909090909091,0.0,0.09090909090909091
279,10.0,1.0,0.0,1.0,0.0,0.0
280,31.0,1.0,0.0,1.0,0.0,0.0
281,31.0,0.8709677419354839,0.8709677419354839,0.0,0.12903225806451613,0.0
282,13.0,1.0,0.0,1.0,0.0,0.0
283,49.0,1.0,0.0,1.0,0.0,0.0
284,15.0,1.0,0.0,1.0,0.0,0.0
285,15.0,1.0,0.0,1.0,0.0,0.0
286,19.0,0.8421052631578947,0.0,0.8421052631578947,0.0,0.15789473684210525
287,36.0,0.7777777777777778,0.75,0.027777777777777776,0.2222222222222222,0.0
288,31.0,0.7419354838709677,0.0,0.7419354838709677,0.0,0.25806451612903225
289,21.0,0.9047619047619048,0.0,0.9047619047619048,0.0,0.09523809523809523
290,15.0,0.9333333333333333,0.0,0.9333333333333333,0.0,0.06666666666666667
291,40.0,1.0,0.0,1.0,0.0,0.0
292,14.0,1.0,0.0,1.0,0.0,0.0
293,17.0,0.9411764705882353,0.0,0.9411764705882353,0.0,0.058823529411764705
294,24.0,1.0,0.0,1.0,0.0,0.0
295,31.0,0.9354838709677419,0.0,0.9354838709677419,0.0,0.06451612903225806
296,20.0,1.0,0.0,1.0,0.0,0.0
297,19.0,0.7368421052631579,0.0,0.7368421052631579,0.0,0.2631578947368421
298,15.0,1.0,1.0,0.0,0.0,0.0
299,12.0,0.6666666666666666,0.08333333333333333,0.5833333333333334,0.0,0.3333333333333333
300,19.0,0.9473684210526315,0.0,0.9473684210526315,0.0,0.05263157894736842
301,17.0,0.8235294117647058,0.0,0.8235294117647058,0.0,0.17647058823529413
302,20.0,0.8,0.0,0.8,0.0,0.2
303,24.0,0.7916666666666666,0.0,0.7916666666666666,0.0,0.20833333333333334
304,10.0,1.0,0.0,1.0,0.0,0.0
305,13.0,0.5384615384615384,0.5384615384615384,0.0,0.46153846153846156,0.0
306,44.0,0.9545454545454546,0.9545454545454546,0.0,0.045454545454545456,0.0
307,13.0,0.9230769230769231,0.0,0.9230769230769231,0.0,0.07692307692307693
308,16.0,1.0,0.0,1.0,0.0,0.0
309,10.0,0.5,0.0,0.5,0.2,0.3
310,41.0,0.975609756097561,0.0,0.975609756097561,0.0,0.024390243902439025
311,28.0,0.9285714285714286,0.0,0.9285714285714286,0.0,0.07142857142857142
312,31.0,0.8064516129032258,0.8064516129032258,0.0,0.1935483870967742,0.0
313,11.0,0.8181818181818182,0.0,0.8181818181818182,0.0,0.18181818181818182
314,23.0,0.9130434782608695,0.0,0.9130434782608695,0.0,0.08695652173913043
315,21.0,0.8095238095238095,0.0,0.8095238095238095,0.047619047619047616,0.14285714285714285
316,20.0,0.85,0.0,0.85,0.0,0.15
317,15.0,0.7333333333333333,0.0,0.7333333333333333,0.0,0.26666666666666666
318,35.0,0.9714285714285714,0.0,0.9714285714285714,0.0,0.02857142857142857
319,16.0,1.0,0.0,1.0,0.0,0.0
320,36.0,0.6388888888888888,0.05555555555555555,0.5833333333333334,0.05555555555555555,0.3055555555555556
321,19.0,0.7894736842105263,0.05263157894736842,0.7368421052631579,0.0,0.21052631578947367
322,12.0,1.0,0.0,1.0,0.0,0.0
323,10.0,0.6,0.2,0.4,0.2,0.2
324,28.0,0.9642857142857143,0.0,0.9642857142857143,0.0,0.03571428571428571
325,16.0,0.875,0.0,0.875,0.0,0.125
326,32.0,0.8125,0.0,0.8125,0.0,0.1875
327,25.0,1.0,0.0,1.0,0.0,0.0
328,28.0,0.9642857142857143,0.0,0.9642857142857143,0.0,0.03571428571428571
329,18.0,0.7222222222222222,0.05555555555555555,0.6666666666666666,0.0,0.2777777777777778
330,12.0,0.9166666666666666,0.0,0.9166666666666666,0.0,0.08333333333333333
331,22.0,0.6818181818181818,0.0,0.6818181818181818,0.0,0.3181818181818182
332,19.0,1.0,0.0,1.0,0.0,0.0
333,14.0,1.0,0.0,1.0,0.0,0.0
334,17.0,0.7058823529411765,0.0,0.7058823529411765,0.0,0.29411764705882354
335,14.0,1.0,0.0,1.0,0.0,0.0
336,14.0,0.7142857142857143,0.5714285714285714,0.14285714285714285,0.21428571428571427,0.07142857142857142
337,38.0,1.0,0.0,1.0,0.0,0.0
338,27.0,0.8518518518518519,0.8518518518518519,0.0,0.14814814814814814,0.0
339,11.0,1.0,0.0,1.0,0.0,0.0
340,17.0,1.0,0.0,1.0,0.0,0.0
341,18.0,1.0,0.0,1.0,0.0,0.0
342,41.0,0.6585365853658537,0.0,0.6585365853658537,0.024390243902439025,0.3170731707317073
343,24.0,1.0,0.0,1.0,0.0,0.0
344,14.0,1.0,0.0,1.0,0.0,0.0
345,23.0,0.8695652173913043,0.0,0.8695652173913043,0.0,0.13043478260869565
346,34.0,0.9411764705882353,0.0,0.9411764705882353,0.0,0.058823529411764705
347,33.0,0.9090909090909091,0.0,0.9090909090909091,0.0,0.09090909090909091
348,15.0,1.0,0.0,1.0,0.0,0.0
349,21.0,1.0,0.0,1.0,0.0,0.0
350,28.0,0.9642857142857143,0.0,0.9642857142857143,0.0,0.03571428571428571
351,11.0,1.0,0.0,1.0,0.0,0.0
352,19.0,0.7894736842105263,0.0,0.7894736842105263,0.0,0.21052631578947367
353,16.0,1.0,0.0,1.0,0.0,0.0
354,16.0,0.625,0.625,0.0,0.3125,0.0625
355,18.0,1.0,0.0,1.0,0.0,0.0
356,16.0,0.4375,0.0,0.4375,0.0,0.5625
357,15.0,0.7333333333333333,0.06666666666666667,0.6666666666666666,0.0,0.26666666666666666
358,12.0,0.6666666666666666,0.5833333333333334,0.08333333333333333,0.3333333333333333,0.0
359,20.0,1.0,0.0,1.0,0.0,0.0
360,15.0,0.7333333333333333,0.4666666666666667,0.26666666666666666,0.13333333333333333,0.13333333333333333
361,62.0,1.0,0.0,1.0,0.0,0.0
362,18.0,1.0,0.0,1.0,0.0,0.0
363,12.0,1.0,0.0,1.0,0.0,0.0
364,15.0,0.6666666666666666,0.26666666666666666,0.4,0.13333333333333333,0.2
365,13.0,1.0,0.0,1.0,0.0,0.0
366,30.0,1.0,0.0,1.0,0.0,0.0
367,12.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.16666666666666666
368,10.0,0.8,0.0,0.8,0.0,0.2
369,18.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.16666666666666666
370,11.0,1.0,0.0,1.0,0.0,0.0
371,21.0,0.8571428571428571,0.8571428571428571,0.0,0.14285714285714285,0.0
372,12.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.16666666666666666
373,10.0,1.0,0.0,1.0,0.0,0.0
374,17.0,1.0,0.0,1.0,0.0,0.0
375,12.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333
376,17.0,0.8823529411764706,0.0,0.8823529411764706,0.0,0.11764705882352941
377,12.0,0.9166666666666666,0.9166666666666666,0.0,0.08333333333333333,0.0
378,20.0,0.75,0.0,0.75,0.0,0.25
379,17.0,1.0,0.0,1.0,0.0,0.0
380,10.0,0.7,0.0,0.7,0.1,0.2
381,16.0,0.75,0.75,0.0,0.25,0.0
382,12.0,0.9166666666666666,0.0,0.9166666666666666,0.0,0.08333333333333333
383,16.0,0.6875,0.0,0.6875,0.0,0.3125
